Timestamp,ACC_91C,ACC_912
2025-08-20T21:41:22.704Z,"{""x"": 14848, ""y"": 4863, ""z"": 1281}","{""x"": 3840, ""y"": 10239, ""z"": 30463}"
2025-08-20T21:41:23.703Z,"{""x"": 1280, ""y"": 6911, ""z"": 8448}","{""x"": -12033, ""y"": 8959, ""z"": 26623}"
2025-08-20T21:41:23.703Z,"{""x"": 1280, ""y"": 6911, ""z"": 8448}","{""x"": -10753, ""y"": 18687, ""z"": 20735}"
2025-08-20T21:41:24.909Z,"{""x"": 25344, ""y"": -23808, ""z"": 15616}","{""x"": 18175, ""y"": -9216, ""z"": -9474}"
2025-08-20T21:41:25.107Z,"{""x"": -28928, ""y"": 8960, ""z"": -14081}","{""x"": -21249, ""y"": 16896, ""z"": 1792}"
2025-08-20T21:41:25.255Z,"{""x"": -30976, ""y"": -20992, ""z"": -21759}","{""x"": -17921, ""y"": -14081, ""z"": 18174}"
2025-08-20T21:41:25.660Z,"{""x"": -25600, ""y"": 0, ""z"": 14849}","{""x"": 30463, ""y"": -3585, ""z"": 6399}"
2025-08-20T21:41:25.759Z,"{""x"": -31488, ""y"": -31745, ""z"": 13057}","{""x"": 21247, ""y"": -28417, ""z"": -27906}"
2025-08-20T21:41:26.909Z,"{""x"": 29440, ""y"": 23295, ""z"": 5120}","{""x"": -3585, ""y"": -3586, ""z"": -7425}"
2025-08-20T21:41:28.828Z,"{""x"": -4098, ""y"": 6399, ""z"": 11008}","{""x"": -19200, ""y"": 25343, ""z"": -16641}"
2025-08-20T21:41:28.929Z,"{""x"": 7679, ""y"": 30721, ""z"": 24063}","{""x"": 23552, ""y"": -8703, ""z"": -17409}"
2025-08-20T21:41:29.131Z,"{""x"": -17152, ""y"": 2561, ""z"": 4351}","{""x"": 5120, ""y"": -767, ""z"": -26370}"
2025-08-20T21:41:30.877Z,"{""x"": 1280, ""y"": -9216, ""z"": -4608}","{""x"": 4352, ""y"": 4353, ""z"": -1538}"
2025-08-20T21:41:30.928Z,"{""x"": -15104, ""y"": -9983, ""z"": -5633}","{""x"": 31743, ""y"": -1536, ""z"": -15872}"
2025-08-20T21:41:31.029Z,"{""x"": -13824, ""y"": 25345, ""z"": -23040}","{""x"": 13568, ""y"": 1793, ""z"": -14594}"
2025-08-20T21:41:31.281Z,"{""x"": 3840, ""y"": -4096, ""z"": -9216}","{""x"": 24575, ""y"": 17665, ""z"": 7680}"
2025-08-20T21:41:34.027Z,"{""x"": -12032, ""y"": 24065, ""z"": 2303}","{""x"": 1023, ""y"": -2815, ""z"": -29696}"
2025-08-20T21:41:34.380Z,"{""x"": -12033, ""y"": -14592, ""z"": 7169}","{""x"": 17664, ""y"": 8449, ""z"": -11522}"
2025-08-20T21:41:34.673Z,"{""x"": -21760, ""y"": 13057, ""z"": -29697}","{""x"": -27905, ""y"": 16897, ""z"": 17665}"
2025-08-20T21:41:35.329Z,"{""x"": -26368, ""y"": 3073, ""z"": -9474}","{""x"": 21247, ""y"": -26367, ""z"": -2048}"
2025-08-20T21:41:35.631Z,"{""x"": -12544, ""y"": -26879, ""z"": -17409}","{""x"": 3840, ""y"": 15617, ""z"": -2306}"
2025-08-20T21:41:35.722Z,"{""x"": -21760, ""y"": 7681, ""z"": -19201}","{""x"": -29697, ""y"": -2048, ""z"": -767}"
2025-08-20T21:41:37.327Z,"{""x"": 32511, ""y"": -3328, ""z"": -27137}","{""x"": 14848, ""y"": -2048, ""z"": 10240}"
2025-08-20T21:41:37.731Z,"{""x"": -30977, ""y"": -11521, ""z"": -20481}","{""x"": 18176, ""y"": 26623, ""z"": -31488}"
2025-08-20T21:41:37.973Z,"{""x"": -1026, ""y"": -26368, ""z"": -16129}","{""x"": 18945, ""y"": 8449, ""z"": 18176}"
2025-08-20T21:41:38.680Z,"{""x"": -30465, ""y"": -27905, ""z"": 29183}","{""x"": 30720, ""y"": 22015, ""z"": 21504}"
2025-08-20T21:41:39.225Z,"{""x"": 17407, ""y"": -4608, ""z"": -28417}","{""x"": -21760, ""y"": 22272, ""z"": 24832}"
2025-08-20T21:41:39.225Z,"{""x"": 31743, ""y"": -16129, ""z"": -30977}","{""x"": -21760, ""y"": 22272, ""z"": 24832}"
2025-08-20T21:41:39.387Z,"{""x"": -11522, ""y"": 11008, ""z"": -27905}","{""x"": 20737, ""y"": -16384, ""z"": -26368}"
2025-08-20T21:41:39.741Z,"{""x"": -31745, ""y"": 24575, ""z"": 24063}","{""x"": -26368, ""y"": 23295, ""z"": -28416}"
2025-08-20T21:41:44.271Z,"{""x"": 513, ""y"": 0, ""z"": -30976}","{""x"": 12287, ""y"": 7680, ""z"": 28671}"
2025-08-20T21:41:46.417Z,"{""x"": -4608, ""y"": 21504, ""z"": 23295}","{""x"": 16639, ""y"": -19969, ""z"": 6400}"
2025-08-20T21:41:46.720Z,"{""x"": 18177, ""y"": 9728, ""z"": 28671}","{""x"": 3071, ""y"": -25089, ""z"": 5888}"
2025-08-20T21:41:47.063Z,"{""x"": -19200, ""y"": -25857, ""z"": -15361}","{""x"": 29183, ""y"": 32511, ""z"": 3840}"
2025-08-20T21:41:47.265Z,"{""x"": -20480, ""y"": 23295, ""z"": -20481}","{""x"": 25343, ""y"": 29183, ""z"": 18944}"
2025-08-20T21:41:47.971Z,"{""x"": 3072, ""y"": 6399, ""z"": 15616}","{""x"": -20481, ""y"": 4351, ""z"": -14593}"
2025-08-20T21:41:48.214Z,"{""x"": -5375, ""y"": 2303, ""z"": 16896}","{""x"": -8193, ""y"": 4863, ""z"": 32511}"
2025-08-20T21:41:48.214Z,"{""x"": 7680, ""y"": -6914, ""z"": 21504}","{""x"": -8193, ""y"": 4863, ""z"": 32511}"
2025-08-20T21:41:48.567Z,"{""x"": -32768, ""y"": 22783, ""z"": -32768}","{""x"": -23297, ""y"": 29951, ""z"": 14079}"
2025-08-20T21:41:49.072Z,"{""x"": -25858, ""y"": -29186, ""z"": 9729}","{""x"": -30975, ""y"": -22018, ""z"": -1536}"
2025-08-20T21:41:49.163Z,"{""x"": 27135, ""y"": 10239, ""z"": 31743}","{""x"": 23552, ""y"": 8959, ""z"": -28416}"
2025-08-20T21:41:49.263Z,"{""x"": -20481, ""y"": -1026, ""z"": -17921}","{""x"": 19456, ""y"": 6399, ""z"": -4097}"
